pitch_name,game_year,game_month,game_day,home_team,LAA_score,ENEMY_score,stand,on_3b,on_2b,on_1b,inning,pitch_number,outs_when_up,balls,strikes,sz_top,sz_bot,is_first_pitch_number,release_speed,release_pos_x,release_pos_y,release_pos_z,release_spin_rate,release_extension,plate_x,plate_z,events,description,zone,type,hc_x,hc_y
1,2022,4,7,0,0,0,0,0,0,0,2,4,2,1,2,3.37,1.53,0,98.7,-2.28,53.58,5.79,2146.0,6.9,-0.89,2.32,19.0,9.0,13.0,0.0,0.0,0.0
1,2022,4,7,0,0,0,0,0,0,0,3,1,0,0,0,3.4,1.64,1,,,,,,,,,,,,,,
1,2022,4,7,0,0,0,0,0,0,0,3,2,0,0,1,3.46,1.67,0,95.0,-1.94,53.59,5.88,1924.0,6.9,0.26,1.84,19.0,2.0,8.0,0.0,0.0,0.0
0,2022,4,7,0,0,0,0,0,0,0,3,3,0,1,1,3.37,1.59,0,97.3,-2.02,53.46,5.9,1965.0,7.0,0.84,2.08,19.0,0.0,14.0,1.0,0.0,0.0
0,2022,4,7,0,0,0,0,0,0,0,3,4,0,2,1,3.37,1.53,0,85.0,-2.18,53.53,5.81,2322.0,7.0,-0.71,2.94,19.0,0.0,1.0,1.0,0.0,0.0
1,2022,4,7,0,0,0,0,0,0,0,3,5,0,2,2,3.25,1.66,0,83.9,-2.19,53.54,5.77,2356.0,7.0,-0.11,1.52,19.0,9.0,8.0,0.0,0.0,0.0
1,2022,4,7,0,0,0,0,0,0,0,3,6,0,3,2,3.34,1.54,0,97.8,-2.29,53.62,5.82,2131.0,6.9,-0.98,3.15,19.0,0.0,11.0,1.0,0.0,0.0
2,2022,4,7,0,0,0,0,0,0,0,3,1,1,0,0,2.83,1.31,1,,,,,,,,,,,,,,
2,2022,4,7,0,0,0,0,0,0,0,3,2,1,0,1,2.94,1.45,0,80.2,-1.79,53.61,6.21,2382.0,6.9,-0.25,2.55,19.0,2.0,2.0,0.0,0.0,0.0
0,2022,4,7,0,0,0,0,0,0,0,3,3,1,1,1,2.92,1.33,0,92.6,-2.02,53.43,5.83,1572.0,7.1,0.26,0.21,19.0,0.0,14.0,1.0,0.0,0.0
0,2022,4,7,0,0,0,0,0,0,0,3,4,1,2,1,2.89,1.37,0,84.8,-2.29,53.69,5.77,2460.0,6.8,-1.35,2.75,19.0,0.0,11.0,1.0,0.0,0.0
1,2022,4,7,0,0,0,0,0,0,0,3,5,1,3,1,2.88,1.35,0,85.3,-2.21,53.63,5.77,2380.0,6.9,-1.54,4.06,19.0,0.0,11.0,1.0,0.0,0.0
1,2022,4,7,0,0,0,0,0,0,0,3,6,1,3,2,3.1,1.45,0,97.7,-2.15,53.52,5.72,2144.0,7.0,0.66,2.17,19.0,2.0,6.0,0.0,0.0,0.0
2,2022,4,7,0,0,0,1,0,0,0,3,1,2,0,0,3.23,1.39,1,,,,,,,,,,,,,,
1,2022,4,7,0,0,0,1,0,0,0,3,2,2,0,1,3.12,1.55,0,79.0,-1.76,53.6,6.21,2525.0,6.9,-0.26,2.49,19.0,2.0,5.0,0.0,0.0,0.0
2,2022,4,7,0,0,0,1,0,0,0,3,3,2,1,1,3.39,1.59,0,97.1,-2.27,53.66,5.73,2236.0,6.8,-0.74,3.61,19.0,0.0,11.0,1.0,0.0,0.0
1,2022,4,7,0,0,0,1,0,0,0,3,4,2,2,1,3.47,1.59,0,79.4,-1.69,53.63,6.18,2478.0,6.9,0.16,1.13,19.0,0.0,14.0,1.0,0.0,0.0
2,2022,4,7,0,0,0,0,0,1,0,3,1,2,0,0,3.13,1.53,1,,,,,,,,,,,,,,
2,2022,4,7,0,0,0,0,0,1,0,3,2,2,0,1,3.32,1.53,0,78.4,-1.63,53.63,6.29,2533.0,6.9,-0.15,3.18,19.0,2.0,2.0,0.0,0.0,0.0
1,2022,4,7,0,0,0,0,0,1,0,3,3,2,1,1,3.27,1.67,0,91.8,-1.85,53.39,5.85,1650.0,7.1,1.14,1.66,19.0,0.0,14.0,1.0,0.0,0.0
0,2022,4,7,0,0,0,0,0,1,0,3,4,2,2,1,3.14,1.54,0,97.6,-2.06,53.58,5.85,2169.0,6.9,-0.02,4.14,19.0,0.0,11.0,1.0,0.0,0.0
