pitch_name,game_year,game_month,game_day,home_team,LAA_score,ENEMY_score,score_difference,is_LAA_score_is_higher,stand,on_3b,on_2b,on_1b,count_runner,inning,pitch_number,pitch_count_per_inning,pitch_count_per_game,outs_when_up,balls,strikes,sz_top,sz_bot,is_first_pitch_number,release_speed,release_pos_x,release_pos_y,is_incourse_ball,is_high_ball,release_pos_z,release_spin_rate,release_extension,plate_x,plate_z,events,description,zone,type,hc_x,hc_y,one_pitch_ago,two_pitches_ago,three_pitches_ago
0,2018,4,1,1,2,0,2,1,0,0,1,1,2,2,2,12,25,1,0,1,3.61,1.38,0,81.8,-2.42,54.03,1.0,0.0,5.94,2402.0,6.5,-0.58,2.84,19.0,2.0,4.0,0.0,0.0,0.0,Sweeper,,
1,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,2,1,13,26,1,0,0,3.83,1.66,1,,,,,,,,,,,,,,,,,,,
1,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,2,2,14,27,1,0,1,3.7,1.71,0,98.7,-2.25,53.65,0.0,-1.0,6.06,2330.0,6.8,0.25,2.25,19.0,2.0,8.0,0.0,0.0,0.0,4-Seam Fastball,,
0,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,2,3,15,28,1,1,1,3.66,1.62,0,98.5,-2.3,53.73,-1.0,-1.0,6.04,2299.0,6.8,0.73,1.33,19.0,0.0,14.0,1.0,0.0,0.0,4-Seam Fastball,4-Seam Fastball,
0,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,2,4,16,29,1,1,2,3.7,1.62,0,83.3,-2.41,54.31,0.0,1.0,5.98,2450.0,6.2,0.08,3.1,19.0,2.0,2.0,0.0,0.0,0.0,Sweeper,4-Seam Fastball,4-Seam Fastball
1,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,2,5,17,30,1,2,2,3.47,1.46,0,89.1,-2.11,53.96,-1.0,-1.0,6.13,1332.0,6.5,0.44,0.06,19.0,0.0,14.0,1.0,0.0,0.0,Split-Finger,Sweeper,4-Seam Fastball
0,2018,4,1,1,2,3,-1,-1,1,0,0,0,0,2,1,18,31,2,0,0,3.24,1.35,1,,,,,,,,,,,,,,,,,,,
0,2018,4,1,1,2,3,-1,-1,1,0,0,0,0,2,2,19,32,2,0,1,3.54,1.35,0,75.6,-1.99,54.69,0.0,1.0,6.27,2586.0,5.8,-0.25,2.96,19.0,2.0,2.0,0.0,0.0,0.0,Curveball,,
0,2018,4,1,1,2,3,-1,-1,1,0,0,0,0,2,3,20,33,2,0,2,3.54,1.35,0,87.9,-2.2,54.29,0.0,-1.0,6.15,1464.0,6.2,-0.13,1.72,19.0,9.0,8.0,0.0,0.0,0.0,Split-Finger,Curveball,
0,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,3,1,1,34,0,0,0,3.45,1.6,1,,,,,,,,,,,,,,,,,,,
0,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,3,2,2,35,0,1,0,3.5,1.55,0,78.8,-2.29,54.39,-1.0,-1.0,6.14,2260.0,6.1,0.98,1.4,19.0,0.0,14.0,1.0,0.0,0.0,Sweeper,,
1,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,3,3,3,36,0,1,1,3.66,1.76,0,80.4,-2.48,54.32,-1.0,0.0,6.06,2297.0,6.2,0.76,2.54,19.0,2.0,6.0,0.0,0.0,0.0,Sweeper,Sweeper,
0,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,3,4,4,37,0,2,1,3.63,1.68,0,96.2,-2.27,54.05,1.0,1.0,6.14,2157.0,6.4,-0.83,4.58,19.0,0.0,11.0,1.0,0.0,0.0,4-Seam Fastball,Sweeper,Sweeper
1,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,3,5,5,38,0,3,1,3.33,1.46,0,80.7,-2.41,54.18,1.0,-1.0,5.97,2331.0,6.3,-0.2,1.22,19.0,0.0,13.0,1.0,0.0,0.0,Sweeper,4-Seam Fastball,Sweeper
1,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,3,6,6,39,0,3,2,3.33,1.46,0,96.4,-2.22,54.13,1.0,1.0,6.11,2145.0,6.4,-0.54,3.4,19.0,3.0,1.0,0.0,0.0,0.0,4-Seam Fastball,Sweeper,4-Seam Fastball
0,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,3,7,7,40,0,3,2,3.37,1.53,0,97.6,-2.26,53.5,1.0,1.0,6.04,2177.0,7.0,-0.41,2.76,19.0,3.0,1.0,0.0,0.0,0.0,4-Seam Fastball,4-Seam Fastball,Sweeper
0,2018,4,1,1,2,3,-1,-1,1,0,0,0,0,3,1,8,41,1,0,0,3.22,1.4,1,,,,,,,,,,,,,,,,,,,
0,2018,4,1,1,2,3,-1,-1,1,0,0,0,0,3,1,9,42,2,0,0,3.74,1.84,1,,,,,,,,,,,,,,,,,,,
1,2018,4,1,1,2,3,-1,-1,1,0,0,0,0,3,2,10,43,2,1,0,3.49,1.53,0,90.4,-2.34,54.35,1.0,-1.0,6.12,1448.0,6.2,0.99,1.07,19.0,0.0,14.0,1.0,0.0,0.0,Split-Finger,,
1,2018,4,1,1,2,3,-1,-1,1,0,0,0,0,3,3,11,44,2,1,1,3.49,1.53,0,98.6,-2.25,53.65,1.0,0.0,6.07,2387.0,6.8,0.33,2.42,19.0,9.0,6.0,0.0,0.0,0.0,4-Seam Fastball,Split-Finger,
0,2018,4,1,1,2,3,-1,-1,1,0,0,0,0,3,4,12,45,2,1,2,3.49,1.53,0,99.1,-2.29,53.94,0.0,0.0,6.14,2295.0,6.6,0.1,2.55,19.0,9.0,5.0,0.0,0.0,0.0,4-Seam Fastball,4-Seam Fastball,Split-Finger
0,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,4,1,1,46,0,0,0,3.64,1.71,1,,,,,,,,,,,,,,,,,,,
